service;origin;destiny;color_id;stopsI;stopsR;scheduleI;scheduleR
302;(M) Santa Ana;La Pintana;6;PA229-PA78-PA230-PA231-PA232-PA233-PA35-PA36-PA37-PA234-PA38-PA39-PH261-PH262-PH263-PH264-PH136-PH265-PH266-PH267-PH268-PH269-PH270-PH271-PH272-PH1499-PH1492-PH1500-PH1493-PH1494-PH1495-PH1496-PH1497-PG389-PG390-PG391-PG264-PG212-PG213-PG214-PG392-PG393-PG394-PG1304-PG399-PG327-PG400-PG328-PG1120-PG329-PG330-PG331-PG1690-PG333-PG1739-PG1264-PG1265-PG1266-PG302-PG303-PG304-PG305-PG306-PG163-PG579-PG580-PG1172-PG1670-PG156-PG889;PG864-PG1691-PG1348-PG1185-PG1186-PG1187-PG626-PG627-PG149-PG307-PG308-PG309-PG310-PG311-PG1241-PG1242-PG1743-PG1740-PG1741-PG1742-PG335-PG336-PG1465-PG337-PG1097-PG340-PG341-PG397-PG398-PG1794-PG1793-PG1341-PG402-PG403-PG404-PG405-PG200-PG201-PG202-PG203-PG406-PG407-PG408-PG409-PG268-PG269-PG270-PG271-PG272-PG273-PG410-PH273-PH274-PH275-PH276-PH277-PH278-PH137-PH279-PH280-PH281-PH282-PA17-PA18-PA235-PA236-PA237-PA238-PA239-PA240-PA80-PA241-PA81-PA82-PA244;Domingo y Festivos-05:30-00:45/Sábado-05:30-00:45/Lunes a Viernes-05:30-00:45;Domingo y Festivos-05:30-00:30/Lunes a Viernes-05:30-00:30/Sábado-05:30-00:30
302N;Alameda;La Pintana;6;PA344-PA183-PA184-PA232-PA233-PA35-PA36-PA37-PA234-PA38-PA39-PH261-PH262-PH263-PH264-PH136-PH265-PH266-PH267-PH268-PH269-PH270-PH271-PH272-PH1499-PH1492-PH1500-PH1493-PH1494-PH1495-PH1496-PH1497-PG389-PG390-PG391-PG264-PG212-PG213-PG214-PG392-PG393-PG394-PG1304-PG399-PG327-PG400-PG328-PG1120-PG329-PG330-PG331-PG1690-PG333-PG1739-PG1264-PG1265-PG1266-PG302-PG303-PG304-PG305-PG306-PG163-PG579-PG580-PG1172-PG1670-PG156-PG889;PG864-PG1691-PG1348-PG1185-PG1186-PG1187-PG626-PG627-PG149-PG307-PG308-PG309-PG310-PG311-PG1241-PG1242-PG1743-PG1740-PG1741-PG1742-PG335-PG336-PG1465-PG337-PG1097-PG340-PG341-PG397-PG398-PG1794-PG1793-PG1341-PG402-PG403-PG404-PG405-PG200-PG201-PG202-PG203-PG406-PG407-PG408-PG409-PG268-PG269-PG270-PG271-PG272-PG273-PG410-PH273-PH274-PH275-PH276-PH277-PH278-PH137-PH279-PH280-PH281-PH282-PA17-PA18-PA235-PA236-PA237-PA238-PA239-PA240-PA80-PA241-PA81-PA338-PA339-PA344;Sábado-01:15-05:15/Domingo y Festivos-01:15-05:15/Lunes a Viernes-01:15-05:15;Domingo y Festivos-01:00-05:00/Sábado-01:00-05:00/Lunes a Viernes-01:00-05:15
302e;(M) Los Heroes;San RamÃ³n;6;PA231-PA232-PH1494-PH1497-PG390-PG264-PG212-PG214-PG392-PG393-PG1304-PG399-PG327-PG400-PG328-PG1120-PG329;PG1465-PG337-PG1097-PG340-PG341-PG397-PG398-PG1794-PG1793-PG1341-PG402-PG403-PG200-PG203-PG409-PA81;;Lunes a Viernes-17:30-21:15/Lunes a Viernes-06:00-09:00/Lunes a Viernes-17:30-20:18/Lunes a Viernes-06:00-08:54
303;Quilicura;Plaza Italia;6;PB1867-PB399-PB400-PB401-PB402-PB403-PB404-PB405-PB406-PB408-PB409-PB410-PB411-PB412-PB413-PB414-PB415-PB416-PB417-PB418-PB419-PB420-PB1691-PB421-PB422-PB423-PB424-PB425-PB426-PB427-PB428-PB429-PA352-PA815-PA52-PA28-PA598-PA371-PA169-PA373-PA170;PA373-PA692-PA43-PA44-PA261-PA262-PA423-PA303-PA245-PA265-PB430-PB1525-PB431-PB432-PB433-PB434-PB435-PB436-PB437-PB1559-PB439-PB440-PB441-PB442-PB443-PB444-PB445-PB446-PB448-PB449-PB450-PB451-PB452-PB453-PB454-PB455-PB456-PB457-PB458-PB459-PB641-PB1059-PB1648-PB463-PB464-PB465-PB1683;Lunes a Viernes-00:00-23:59/Sábado-00:00-23:59/Domingo y Festivos-00:00-23:59;Sábado-00:00-23:59/Domingo y Festivos-00:00-23:59/Lunes a Viernes-00:00-23:59
303e;Quilicura;(M) Santa Ana;6;PB399-PB400-PB402-PB404-PB406-PB410-PB411-PB412-PB467-PB468;PA244-PB469-PB1531-PB571-PB453-PB477-PB458-PB641-PB1059-PB1648-PB463-PB464-PB465;Lunes a Viernes-17:30-21:20/Lunes a Viernes-05:30-09:22;Lunes a Viernes-05:30-09:18/Lunes a Viernes-17:30-21:24
307;Lo Marcoleta;Plaza Italia;6;PB534-PB567-PB536-PB537-PB564-PB538-PB539-PB563-PB1578-PB542-PB543-PB544-PB545-PB547-PB548-PB549-PB552-PB550-PB551-PB411-PB415-PB416-PB417-PB418-PB419-PB420-PB1691-PB421-PB422-PB423-PB424-PB425-PB426-PB427-PB428-PB429-PA329-PA476-PA89-PA820-PA821-PA371-PA169-PA170-PA171-PC145-PA259-PA261-PA262-PA423-PA303-PA245-PA265-PB430-PB1525-PB431-PB432-PB433-PB434-PB435-PB436-PB437-PB1559-PB439-PB440-PB441-PB442-PB443-PB444-PB445-PB446-PB1237-PB448-PB449-PB414-PB450-PB413-PB451-PB412-PB452-PB453-PB553-PB554-PB622-PB556-PB546-PB557-PB558-PB559-PB560-PB561-PB562-PB540-PB565-PB566-PB568-PB1595-PB1668-PB1665-PB1667-PB1666;;Domingo y Festivos-05:15-00:30/Lunes a Viernes-05:00-00:30/Sábado-05:15-00:30;Domingo y Festivos-05:40-01:10/Lunes a Viernes-05:40-01:00/Sábado-05:40-01:10
307e;Rigoberto Jara;Plaza Italia;6;PB1719-PB951-PB1630-PB569-PB1250-PB1680-PB570-PB492-PB542-PB543-PB544-PB545-PB546-PB547-PB548-PB549-PB411-PB467-PB468-PA329-PA476-PA89-PA820-PA821-PA371-PA169-PA170;PA171-PC145-PA261-PA303-PB1056-PB1057-PB1058-PB453-PB553-PB554-PB622-PB556-PB557-PB558-PB560-PB562-PB525-PB572-PB573-PB649-PB650;Lunes a Viernes-05:00-09:24/Lunes a Viernes-17:30-21:22;Lunes a Viernes-05:30-09:22/Lunes a Viernes-17:30-21:24
308;Lo Marcoleta;Mapocho;6;PB534-PB574-PB575-PB576-PB577-PB578-PB579-PB580-PB494-PB495-PB408-PB409-PB410-PB411-PB412-PB581-PB582-PB467-PB1530-PB468-PB583-PB186-PB187-PB188-PB251-PB190-PB191-PB1707-PB193-PB194-PB195-PB196-PB259-PB198-PB199-PB200-PB201-PB202-PB203-PB264-PB265-PB205-PB206-PB268-PB269-PB209-PB210-PA84;PA87-PB211-PB212-PB386-PB221-PB277-PB278-PB1645-PB280-PB281-PB227-PB283-PB1708-PB285-PB286-PB232-PB233-PB234-PB290-PB519-PB531-PB469-PB591-PB532-PB651-PB452-PB453-PB454-PB455-PB456-PB520-PB521-PB522-PB592-PB593-PB594-PB595-PB596-PB597-PB598-PB599-PB568-PB1595;Lunes a Viernes-05:00-00:30/Domingo y Festivos-05:30-00:30/Sábado-05:30-00:30;Domingo y Festivos-05:30-00:30/Sábado-05:30-00:30/Lunes a Viernes-05:30-00:30
312e;Quilicura;Mapocho;6;PB620-PB574-PB625-PB405-PB633-PA669;PB567;;Lunes a Viernes-06:30-09:15/Lunes a Viernes-17:30-21:18
313e;Quilicura;Estacion Central ;6;PB493-PB1242-PB492-PB1578-PB622-PB557-PB1620-PB1215-PJ1774-PJ97-PA331-PI1075;PI1075-PI344-PI404-PI405-PB1696-PB1002-PB1003-PB1198-PB1621-PB1205-PB547-PB548-PB559-PB560-PB1662;;Lunes a Viernes-06:30-09:10/Lunes a Viernes-17:30-20:20/Lunes a Viernes-06:20-09:15/Lunes a Viernes-17:30-21:15
314;Lo Marcoleta;Plaza Italia;6;PB620-PB574-PB623-PB626-PB627-PB1530-PB468-PB416-PB417-PB418-PB419-PB420-PB1691-PB421-PB422-PB423-PB424-PB425-PB426-PB427-PB428-PB429-PA352-PA815-PA52-PA28-PA598-PA371-PA169-PA170-PA171-PC145-PA259-PA261-PA262-PA423-PA303-PA245-PA265-PB430-PB1525-PB431-PB432-PB433-PB434-PB435-PB436-PB437-PB1559-PB439-PB440-PB441-PB442-PB443-PB444-PB445-PB446-PB531-PB469-PB571-PB635-PB636-PB634-PB637-PB633-PB638-PB632-PB639-PB631-PB640-PB630-PB1720-PB1721-PB1669-PB405-PB458-PB404-PB459-PB629-PB641-PB628-PB642-PB643-PB625-PB644-PB624-PB645-PB646-PB599-PB568-PB1595-PB541-PB1668-PB1665-PB1667-PB1666;;Lunes a Viernes-05:00-00:30/Sábado-05:15-00:30/Domingo y Festivos-05:15-00:30;Sábado-05:50-01:10/Lunes a Viernes-05:40-01:10/Domingo y Festivos-05:50-01:10
314e;Lo Marcoleta;Plaza Italia;6;PB1667-PB1668-PB541-PB620-PB574-PB623-PB624-PB625-PB626-PB627-PB628-PB629-PB404-PB405-PB1721-PB630-PB631-PB632-PB633-PB634-PB635-PB1530-PB468-PA352-PA815-PA52-PA28-PA598-PA371-PA169-PA170;PA171-PC145-PA259-PA261-PA262-PA423-PA303-PB531-PB469-PB1531-PB571-PB636-PB637-PB638-PB639-PB640-PB1720-PB1669-PB458-PB459-PB641-PB642-PB643-PB644-PB645-PB646-PB599-PB568-PB1595-PB1665-PB1666;Lunes a Viernes-06:30-08:20/Lunes a Viernes-16:30-19:18;Lunes a Viernes-07:30-09:15/Lunes a Viernes-17:30-20:18
315e;Rigoberto Jara;Plaza Italia;6;PB1667-PB1668-PB534-PB536-PB537-PB1719-PB951-PB1630-PB569-PB1250-PB1680-PB570-PB1251-PB1252-PB1253-PB1254-PB544-PB545-PB546-PB547-PB548-PB549-PB550-PB551-PB498-PB411-PB412-PB581-PB582-PB467-PB1530-PB468-PA352-PA815-PA52-PA28-PA598-PA371-PA169-PA170;PA171-PC145-PA261-PA303-PB531-PB469-PB1531-PB571-PB591-PB532-PB651-PB452-PB453-PB552-PB553-PB554-PB622-PB556-PB557-PB558-PB1240-PB1241-PB493-PB1242-PB945-PB572-PB573-PB649-PB650-PB565-PB566-PB567-PB568-PB1595-PB1665-PB1666;Domingo y Festivos-05:30-22:45/Sábado-05:30-22:45/Lunes a Viernes-05:00-23:45;Sábado-05:45-22:54/Domingo y Festivos-05:45-22:45/Lunes a Viernes-05:40-23:48
316e;San Ignacio;(M) Cal Y Canto;6;PB620-PB576-PB578-PB580-PB495-PB941-PB1208-PB543-PB545-PB1209-PB1620-PB1215-PB1015-PB1016-PB422-PA669;PA669-PA303-PB1559-PB1597-PB1596-PB1002-PB1003-PB1198-PB1621-PB1205-PB994-PB559-PB1206-PB960-PB961-PB522-PB594-PB596-PB599;Lunes a Viernes-18:00-18:30;Lunes a Viernes-07:00-07:30
321;(M) Lo Ovalle;Lo Sierra;6;PG1585-PG1587-PH250-PH251-PH252-PH253-PH684-PH685-PH686-PH687-PH688-PH1505-PH690-PH691-PH692-PH693-PH309-PH695-PH1495-PH696-PH697-PH698-PH558-PH560-PH561-PH562-PH680-PH681-PH64-PH65-PH66-PH67-PH1514-PH467;PH1511-PH1512-PH76-PH77-PH78-PH79-PH80-PH665-PH666-PH573-PH574-PH575-PH709-PH310-PH731-PH712-PH713-PH714-PH716-PH717-PH718-PH719-PH720-PH721-PH259-PG274-PG289-PG278-PG1107-PG425-PG1167;Lunes a Viernes-05:30-22:55/Sábado-05:30-22:55/Domingo y Festivos-05:45-22:42;Sábado-05:30-22:43/Domingo y Festivos-05:45-22:42/Lunes a Viernes-05:30-22:45
322;(M) Bellavista De La Florida ;Jardin Alto;6;PE1282-PE1304-PD1587-PE376-PE377-PE378-PE379-PE380-PE381-PE382-PE383-PE384-PE385-PE386-PE387-PE388-PE389-PE390-PE547-PE548-PE549-PE550-PE1418-PE398-PE399-PE1376-PE1377;PE1493-PE400-PE1375-PE402-PE403-PE1416-PE540-PE541-PE542-PE543-PE544-PE412-PE413-PE414-PE415-PE416-PE417-PE418-PE419-PE421-PE422-PE423-PE424-PE1282;Lunes a Viernes-05:50-23:40/Sábado-06:10-23:40/Domingo y Festivos-06:30-23:40;Domingo y Festivos-06:30-23:40/Lunes a Viernes-05:30-23:40/Sábado-05:50-23:40
323;(M) Bellavista De La Florida ;La Loma;6;PE1282-PE1304-PE523-PE524-PE525-PE1276-PE526-PE527-PE528-PE529-PE530-PE531-PE532-PE533-PE534-PE535-PE536-PE537-PE538-PE539-PE540-PE541-PE542-PE543-PE544-PE391-PE396-PE397-PE398-PE399-PE1376-PE1377;PE1493-PE400-PE1375-PE402-PE403-PE395-PE409-PE410-PE545-PE546-PE547-PE548-PE549-PE550-PE551-PE552-PE553-PE554-PE555-PE556-PE557-PE558-PE559-PE560-PE561-PE562-PE149-PE150-PE151-PE152-PE1282;Sábado-06:00-23:55/Lunes a Viernes-05:45-23:55/Domingo y Festivos-07:00-23:55;Domingo y Festivos-06:45-23:45/Lunes a Viernes-05:30-23:46/Sábado-05:45-23:45
325;Gabriela;(M) Irarrazaval;6;PF1010-PF869-PF317-PF164-PF165-PE211-PE212-PE213-PE214-PE633-PE634-PE791-PE792-PE793-PE794-PE795-PE796-PE96-PE97-PE222-PE98-PE1298-PE797-PE798-PE799-PE1274-PE149-PE150-PE151-PE1441-PE454-PE1489-PE800-PE801-PE1332-PE1334-PD906-PD907-PD908-PD909-PD910-PD911-PD912-PD630-PD631-PD632-PD633-PD634-PD635-PD636-PD637-PD638-PD913-PD914-PD915-PD916-PD1390-PD100-PD101-PD235-PD319-PD320-PD321-PD322-PD323-PD324-PD325-PD326;PD329-PD330-PD331-PD332-PD333-PD334-PD335-PD336-PD79-PD80-PD81-PD530-PD892-PD893-PD894-PD895-PD596-PD597-PD598-PD599-PD600-PD601-PD602-PD603-PD604-PD605-PD606-PD896-PD897-PD898-PD899-PD900-PD901-PD902-PD3-PE479-PE1335-PE481-PE482-PE1296-PE160-PE523-PE524-PE525-PE1276-PE526-PE1275-PE1273-PE805-PE806-PE1297-PE774-PE84-PE85-PE86-PE807-PE808-PE809-PE810-PE811-PE812-PE608-PE609-PG277-PE1330-PE209-PE210-PF1013-PF1012-PF137-PF1011-PF112;;
329;Mall Florida Center;Mall Plaza Oeste;6;PI981-PI982-PG1463-PG1461-PG1462-PH472-PH73-PH796-PH74-PH75-PH1513-PH76-PH554-PH361-PH1631-PH709-PH310-PH731-PH320-PH321-PH322-PH800-PH323-PH1461-PH1462-PH688-PH1505-PH690-PH1440-PH1475-PG1759-PG1760-PG657-PG658-PG659-PG66-PG67-PG68-PG1709-PG1613-PG1612-PG283-PG284-PG285-PG286-PG287-PG1723-PE226-PE1351-PE1350-PE1392-PE838-PE839-PH669-PH670-PH671-PH22-PH672-PE1-PE2;PE1289-PD5-PH45-PH23-PH46-PH673-PH47-PH48-PH674-PH49-PH675-PE736-PH241-PH242-PH243-PH244-PH245-PH246-PH247-PH248-PH249-PG1674-PG1-PG2-PG3-PG4-PG670-PG671-PG1163-PG1750-PG1429-PH676-PH1529-PH715-PH716-PH1528-PH305-PH1452-PH306-PH707-PH308-PH309-PH697-PH698-PH558-PH354-PH67-PH356-PH68-PH801-PH795-PH1479-PH358-PH1507-PI1246-PI1245-PI1244-PI1637-PI1645;;
345;Lo Espejo;Alameda;6;PH1511-PH1512-PH76-PH77-PH78-PH79-PH80-PH81-PH82-PH83-PH84-PH365-PH479-PH326-PH327-PH328-PH329-PH330-PH331-PI1237-PI1234-PI1233-PI1232-PH495-PH496-PH97-PH335-PA287-PA288-PA10-PA695-PA11-PA12-PA13-PA14-PA15-PA163-PA164-PA165-PA338-PA167-PA168;PA715-PA816-PA692-PA182-PA183-PA184-PA185-PA187-PA186-PA551-PA714-PI169-PA597-PA591-PA592-PA280-PA281-PA589-PA590-PA664-PA682-PA681-PA677-PA659-PA574-PH579-PH580-PH494-PI1236-PI1235-PH297-PH298-PH299-PH300-PH301-PH302-PH303-PH1478-PH1516-PH60-PH61-PH62-PH63-PH64-PH65-PH66-PH67-PH356-PH1514-PH467;Sábado-05:30-00:30/Lunes a Viernes-05:30-00:30/Domingo y Festivos-05:30-00:30;Sábado-05:30-00:30/Domingo y Festivos-05:30-00:30/Lunes a Viernes-05:30-00:30
346N;Lo Espejo;Alameda;6;PH1511-PH1512-PH76-PH77-PH78-PH79-PH80-PH81-PH82-PH83-PH84-PH85-PH86-PH87-PH88-PH89-PH90-PH91-PH92-PH93-PI75-PI76-PI77-PI78-PI79-PI340-PI341-PI440-PI1814-PA163-PA164-PA165-PA338-PA167-PA344;PA344-PA183-PA184-PA185-PA187-PA186-PA551-PA367-PI1076-PI1077-PI346-PI67-PI68-PI69-PI70-PI71-PI72-PI73-PH581-PH52-PH53-PH54-PH55-PH56-PH57-PH58-PH59-PH60-PH61-PH62-PH63-PH64-PH65-PH66-PH67-PH356-PH1514-PH467;Sábado-01:15-05:15/Domingo y Festivos-01:15-05:15/Lunes a Viernes-01:15-05:15;Lunes a Viernes-01:15-05:15/Sábado-01:15-05:15/Domingo y Festivos-01:15-05:15
348;Rinconada;(M) Lo Ovalle;6;PI949-PI952-PI1339-PI710-PI711-PI970-PI971-PI369-PI459-PI193-PI1598-PI194-PI195-PI1574-PI973-PI974-PI975-PI976-PI977-PI101-PI1792-PI102-PI103-PI1816-PI105-PI657-PI1367-PI1368-PI611-PI612-PI978-PI979-PI980-PI112-PI114-PI115-PI116-PI355-PI356-PI357-PI358-PI1428-PI1424-PI1425-PI1422-PI1423-PI1429-PH602-PH603-PH604-PH605-PH606-PH477-PH478-PH479-PH366-PH257-PH258-PH259-PG274-PG289-PG278-PG1107-PG425-PG1167-PG1585;PG1585-PG1587-PH250-PH464-PH251-PH252-PH253-PH254-PH255-PH349-PH465-PH466-PH607-PH608-PH609-PH610-PI1431-PI1430-PI1307-PI1427-PI1426-PI1421-PI1656-PI359-PI360-PI361-PI139-PI1314-PI141-PI142-PI1372-PI111-PI223-PI224-PI225-PI226-PI227-PI146-PI228-PI149-PI150-PI151-PI152-PI153-PI995-PI996-PI997-PI998-PI999-PI1000-PI1001-PI1002-PI1468-PI481-PI368-PI1003-PI798-PI799-PI800-PI801-PI958-PI1357;Lunes a Viernes-05:30-23:45/Domingo y Festivos-05:30-23:40/Sábado-05:30-23:45;Lunes a Viernes-05:30-23:45/Domingo y Festivos-06:00-23:40/Sábado-05:45-23:45
350;Ciudad SatÃ©lite;Rinconada;6;PI1093-PI1094-PI1639-PI1095-PI1096-PI1097-PI264-PI265-PI266-PI267-PI268-PI269-PI270-PI271-PI272-PI1601-PI273-PI274-PI275-PI276-PI277-PI279-PI280-PI382-PI383-PI384-PI385-PI1332-PI148-PI151-PI152-PI182-PI183-PI1815-PI956-PI1570-PI957-PI1581-PI958-PI1357;PI949-PI952-PI953-PI954-PI1493-PI198-PI200-PI202-PI1792-PI102-PI103-PI1816-PI105-PI228-PI420-PI422-PI423-PI1336-PI297-PI299-PI300-PI301-PI302-PI303-PI304-PI1600-PI305-PI306-PI317-PI307-PI308-PI309-PI310-PI311-PI312-PI313-PI314-PI1098-PI1099-PI1638-PI1100;Lunes a Viernes-05:30-23:30;Lunes a Viernes-05:30-23:30
350c;Rinconada;(M) Plaza De MaipÃº;6;PI1493-PI198-PI200-PI202-PI1792-PI102-PI103-PI1816-PI105-PI106;;;
385;V. Francia;Mall F. Center;6;PI1159-PI588-PI589-PI590-PI38-PI893-PI894-PI895-PI896-PI1160-PI1161-PI1069-PI1070-PI1071-PI1072-PI1162-PI1163-PI1164-PI1165-PI1166-PI1167-PI1168-PI1169-PI1675-PI1170-PI1171-PI1172-PI1491-PI1173-PI1174-PI1175-PI1176-PI1177-PI1178-PI1814-PA163-PA164-PA165-PA215-PA167-PA92-PA93-PA94-PA95-PA96-PA97-PA98-PA99-PA819-PH785-PH401-PH402-PH403-PH385-PH386-PH1465-PH387-PH1531-PH1533-PH1538-PH1537-PH1539-PH1540-PH391-PH392-PH1532-PH397-PH673-PH47-PE837-PE473-PE474-PE475-PE476-PE478;PE1289-PE1487-PE1302-PE1315-PE1314-PE1307-PH1466-PH412-PH669-PH670-PH671-PH1535-PH1534-PH1545-PH423-PH424-PH425-PH426-PH1470-PH430-PH431-PH181-PH791-PH432-PH433-PH434-PA100-PA101-PA102-PA103-PA104-PA105-PA106-PA107-PA108-PA183-PA184-PA185-PA187-PA186-PA16-PI1076-PI1077-PI346-PI911-PI68-PI69-PI70-PI71-PI72-PI1183-PI1184-PI1185-PI1186-PI1187-PI1188-PI1189-PI1266-PI1190-PI1191-PI1192-PI1193-PI1082-PI1083-PI1084-PI1194-PI1195-PI5-PI6-PI7-PI8-PI591-PI592-PI593-PI1196;;Domingo y Festivos-06:15-00:30/Sábado-06:00-00:30/Lunes a Viernes-05:30-00:30/Lunes a Viernes-00:30-00:30/Sábado-06:15-00:30/Domingo y Festivos-06:30-00:30
401;Maipu;Hospital Dipreca;2;PI369-PI370-PI371-PI372-PI373-PI374-PI375-PI376-PI377-PI1674-PI378-PI379-PI380-PI565-PI1353-PI1351-PI1352-PI386-PI231-PI232-PI233-PI234-PI235-PI236-PI387-PI388-PI389-PI390-PI391-PI392-PI393-PI394-PI395-PI396-PI397-PI398-PI1632-PI400-PI457-PI339-PI401-PI341-PI440-PI1813-PA657-PA369-PA370-PA338-PA339-PA340-PA341-PA342-PC147-PC148-PC149-PC150-PC151-PC2-PC152-PC153-PC154-PC155-PC156-PC157-PC158-PC159-PC586-PC161-PC162-PC163-PC164-PC165-PC166-PC167-PC1062-PC123-PC124-PC125-PC1080-PC442-PC445-PC446-PC447-PC448-PC449-PC450-PC451-PC1057-PC309-PC310-PC306-PC1059-PC308-PC476-PC452-PC666-PC667;PC1223-PC1093-PC477-PC478-PC479-PC480-PC481-PC1058-PC1046-PC455-PC1045-PC456-PC457-PC458-PC1137-PC131-PC132-PC133-PC134-PC135-PC136-PC1105-PC175-PC176-PC177-PC178-PC179-PC180-PC181-PC182-PC183-PC184-PC1106-PC185-PC186-PC1016-PC187-PC188-PC189-PC191-PC192-PC193-PC194-PC195-PC196-PA343-PA41-PA344-PA345-PA184-PA346-PA347-PA348-PA349-PI403-PI404-PI405-PI471-PI406-PJ112-PI407-PI408-PI409-PI410-PI411-PI412-PI413-PI414-PI415-PI416-PI417-PI418-PI253-PI217-PI218-PI219-PI220-PI221-PI419-PI420-PI422-PI423-PI424-PI425-PI426-PI427-PI1673-PI428-PI429-PI430-PI431-PI432-PI433-PI434-PI435-PI436;;Lunes a Viernes-05:00-23:56/Sábado-05:00-23:48/Domingo y Festivos-05:00-23:56/Sábado-06:00-00:36/Lunes a Viernes-06:00-00:36/Domingo y Festivos-06:30-00:48
402;Pudahuel;Mapocho;2;PJ1755-PJ114-PJ115-PJ116-PJ164-PJ117-PJ118-PJ119-PJ170-PJ120-PJ121-PJ171-PJ123-PJ124-PJ173-PJ1777-PJ126-PJ175-PJ184-PJ176-PJ177-PJ178-PJ131-PJ179-PJ180-PJ133-PJ181-PJ135-PJ51-PJ52-PJ98-PA222-PA223-PA224-PA225-PA600-PA226-PA352-PA299-PA300-PA353;PA354-PA49-PA246-PA247-PA248-PA249-PA250-PA251-PA355-PJ137-PJ138-PJ139-PJ140-PJ141-PJ142-PJ143-PJ190-PJ145-PJ953-PJ146-PJ147-PJ148-PJ149-PJ1776-PJ991-PJ151-PJ152-PJ153-PJ154-PJ155-PJ156-PJ157-PJ185-PJ158-PJ159-PJ160-PJ820-PJ161-PJ821-PJ1726-PJ1945;Domingo y Festivos-05:42-00:10/Lunes a Viernes-05:30-00:10/Sábado-05:30-00:10;Domingo y Festivos-06:02-00:45/Lunes a Viernes-06:10-00:47/Sábado-06:02-00:47
403;(M) Santa Ana;La Reina;2;PA78-PA230-PA231-PA668-PA215-PA167-PA168-PA169-PA342-PA171-PA172-PA174-PD328-PD329-PD330-PD331-PD332-PD333-PD334-PD335-PD336-PD337-PD338-PD339-PD340-PD341-PD342-PD409-PD410-PD411-PD412-PD413-PD414-PD415-PD416-PD247-PD248-PD249-PD417-PD418-PD419-PD1017-PD420-PD1435-PD422-PD423-PD424-PD726-PD727;PD738-PD1420-PD440-PD441-PD442-PD443-PD444-PD445-PD299-PD300-PD302-PD446-PD447-PD448-PD449-PD450-PD451-PD452-PD313-PD314-PD315-PD316-PD317-PD453-PD319-PD320-PD321-PD322-PD323-PD324-PD325-PD326-PD327-PC82-PC84-PC86-PA42-PA182-PA183-PA184-PA679-PA82-PA243;Lunes a Viernes-05:52-01:24/Domingo y Festivos-05:50-01:24/Sábado-05:40-01:24;Lunes a Viernes-05:15-00:52/Domingo y Festivos-05:30-00:54/Sábado-05:30-00:52
404;El Descanso;Mapocho;2;PI242-PI442-PI243-PI244-PI1398-PI248-PI443-PI444-PI445-PI1483-PI447-PI393-PI394-PI395-PI396-PI397-PI398-PI1632-PI437-PI438-PI448-PI340-PI439-PI342-PI1814-PA163-PA164-PA668-PA28-PA350-PA626-PA114-PA159-PA160-PA161;PA300-PA89-PA820-PA821-PA345-PA365-PA366-PA348-PA349-PA367-PI344-PI404-PI449-PI450-PI458-PJ165-PI407-PI408-PI409-PI410-PI411-PI412-PI413-PI1024-PI1650-PI451-PI452-PI259-PI260-PI261-PI262-PI263-PI241-PI242;Sábado-05:30-00:38/Lunes a Viernes-05:30-00:38/Domingo y Festivos-05:30-00:30;Domingo y Festivos-06:00-00:45/Lunes a Viernes-06:00-00:52/Sábado-06:03-00:52
404c;El Descanso;(M) Las Rejas;2;PI242-PI442-PI243-PI244-PI1398-PI248-PI443-PI444-PI445-PI1483-PI447-PI393-PI394-PI395-PI396-PI397-PI398-PI437;PJ165-PI407-PI408-PI409-PI410-PI411-PI412-PI413-PI1024-PI1650-PI451-PI452-PI259-PI260-PI261-PI262-PI263-PI241-PI242;Lunes a Viernes-06:00-08:55/Lunes a Viernes-17:30-19:50;Lunes a Viernes-07:00-08:21/Lunes a Viernes-17:30-21:00
